flood_hazard_zone_tier,zone_cluster_id,platform,delivery_baseline_30d,income_baseline_weekly,enrollment_week,season_flag,open_meteo_7d_precip_probability,activity_consistency_score,tenure_discount_factor,historical_claim_rate_zone,weekly_premium
high,3,swiggy,214.5,1499.12,20,dry_season,0.8727,0.8765,0.85,0.2288,49.23
medium,5,zomato,332.95,1943.95,38,NE_monsoon,0.3007,0.6456,0.85,0.1337,49.45
medium,18,swiggy,340.62,2223.4,23,NE_monsoon,0.3728,0.8353,0.85,0.0916,49.0
medium,4,zomato,272.25,1953.31,2,SW_monsoon,0.5149,0.5172,0.9575,0.1254,49.13
medium,11,zomato,267.4,1746.26,1,SW_monsoon,0.3845,0.6057,0.9699,0.1632,49.0
medium,1,zomato,325.57,2258.08,7,dry_season,0.6332,0.4519,0.9171,0.0875,49.83
medium,15,swiggy,446.67,2929.29,24,SW_monsoon,0.2003,0.8735,0.85,0.1162,49.0
medium,14,swiggy,266.16,1557.53,40,heat,0.2518,0.5962,0.85,0.1001,49.0
high,20,swiggy,207.62,1518.16,13,heat,0.543,0.6333,0.8683,0.1873,49.11
high,15,zomato,288.1,2051.62,5,heat,0.3309,1.0,0.9309,0.2028,50.79
medium,4,zomato,365.3,2469.12,2,NE_monsoon,0.4904,0.7554,0.9539,0.0947,49.0
low,16,zomato,323.49,1585.6,35,heat,0.1099,1.0,0.85,0.0489,49.0
medium,13,zomato,312.62,2241.33,11,NE_monsoon,0.2869,0.6904,0.9026,0.1225,50.48
high,11,zomato,363.4,2297.98,4,NE_monsoon,0.2468,0.9892,0.953,0.2037,50.08
low,18,swiggy,293.12,1713.16,20,dry_season,0.4444,0.8802,0.85,0.145,49.0
low,10,zomato,307.64,2081.11,21,SW_monsoon,0.693,0.5606,0.85,0.1241,50.08
high,3,zomato,298.88,2032.81,6,heat,0.5594,0.6156,0.9286,0.1453,49.0
high,8,zomato,213.21,1637.62,34,dry_season,0.3898,0.6866,0.85,0.1507,51.6
high,3,zomato,238.84,1623.25,22,heat,0.1228,0.8124,0.85,0.1601,49.0
high,2,swiggy,365.71,2557.11,39,NE_monsoon,0.5976,0.953,0.85,0.1663,49.0
low,12,zomato,260.01,1520.84,16,heat,0.6076,0.6902,0.85,0.1135,52.56
medium,14,zomato,208.19,1225.11,6,SW_monsoon,0.2253,0.6526,0.9382,0.0438,49.0
high,11,zomato,213.13,1645.69,12,dry_season,0.6509,0.4802,0.8892,0.2047,49.0
medium,17,zomato,219.56,1428.5,11,SW_monsoon,0.6461,0.7537,0.8927,0.1248,51.34
medium,3,zomato,264.47,1693.93,25,heat,0.4301,0.8184,0.85,0.1089,49.29
medium,12,swiggy,337.46,2376.37,3,heat,0.33,0.7317,0.9624,0.1071,53.34
low,8,swiggy,394.98,1960.89,48,heat,0.4839,0.6681,0.85,0.0871,51.24
high,7,zomato,230.19,1445.17,12,NE_monsoon,0.4254,0.817,0.8809,0.1804,49.0
low,18,swiggy,241.11,1525.38,40,NE_monsoon,0.5841,0.5649,0.85,0.1028,49.0
low,19,swiggy,336.82,2129.46,48,NE_monsoon,0.1959,0.7711,0.85,0.0435,53.55
medium,14,swiggy,396.84,2268.22,38,SW_monsoon,0.495,0.4848,0.85,0.1292,49.0
medium,2,zomato,239.04,1623.15,36,SW_monsoon,0.648,0.6654,0.85,0.136,49.0
medium,12,zomato,342.46,2303.79,52,heat,0.2163,0.5096,0.85,0.1409,49.0
medium,12,zomato,342.08,2210.78,34,NE_monsoon,0.6419,0.6203,0.85,0.1108,49.78
low,12,zomato,319.52,1881.84,34,heat,0.4492,0.9972,0.85,0.0971,49.79
high,6,zomato,293.21,2162.68,38,heat,0.2304,0.886,0.85,0.1616,50.36
medium,7,zomato,272.43,1832.62,12,NE_monsoon,0.4804,0.8868,0.8927,0.0963,49.0
high,4,zomato,230.26,1603.24,8,SW_monsoon,0.9304,0.5592,0.9168,0.1953,52.55
low,3,zomato,185.47,1240.05,45,dry_season,0.3931,0.7846,0.85,0.0768,49.0
high,20,zomato,317.63,2322.92,15,NE_monsoon,0.449,0.5824,0.8576,0.1556,49.0
low,1,swiggy,333.42,2134.19,51,dry_season,0.5186,0.726,0.85,0.0968,49.0
high,12,zomato,362.9,2508.41,22,dry_season,0.5548,0.8247,0.85,0.1387,49.0
high,12,zomato,299.68,1795.9,20,SW_monsoon,0.2536,0.6984,0.85,0.1912,52.54
low,15,zomato,315.52,1828.35,5,dry_season,0.3954,0.7779,0.9553,0.1005,52.95
medium,19,zomato,325.47,2285.34,35,SW_monsoon,0.5981,0.5953,0.85,0.1218,49.0
low,4,swiggy,265.62,1503.24,35,dry_season,0.1058,0.8036,0.85,0.1035,50.79
high,18,swiggy,348.41,2694.91,1,NE_monsoon,0.0922,0.5169,0.9805,0.153,51.05
low,4,swiggy,286.06,1736.51,26,dry_season,0.4727,0.6093,0.85,0.099,52.52
medium,10,zomato,222.11,1471.64,37,NE_monsoon,0.5174,0.7805,0.85,0.0624,49.0
high,7,zomato,303.36,1913.41,23,SW_monsoon,0.4271,0.5075,0.85,0.1336,49.0
low,5,swiggy,340.26,2043.9,25,NE_monsoon,0.1448,1.0,0.85,0.1083,51.45
low,20,swiggy,281.45,1718.9,42,NE_monsoon,0.4469,0.9369,0.85,0.0654,49.0
low,5,zomato,284.78,1437.65,31,dry_season,0.4474,0.7322,0.85,0.0756,49.52
low,20,zomato,237.43,1427.2,2,heat,0.521,0.4919,0.9821,0.0673,50.71
low,11,zomato,281.85,1662.19,10,NE_monsoon,0.2286,0.7835,0.9066,0.0663,49.0
medium,15,zomato,305.25,2069.92,19,heat,0.4739,0.8467,0.85,0.1274,51.47
low,13,zomato,259.5,1507.54,6,NE_monsoon,0.3582,0.9127,0.9484,0.0911,49.0
high,17,zomato,298.87,2263.51,51,heat,0.5086,0.7335,0.85,0.2152,49.0
medium,3,swiggy,313.72,1872.4,37,NE_monsoon,0.5603,1.0,0.85,0.1282,49.0
high,8,zomato,255.2,1868.63,2,SW_monsoon,0.7452,0.4404,0.9775,0.15,49.0
high,18,zomato,125.49,812.74,37,dry_season,0.2072,0.938,0.85,0.1392,49.0
low,11,zomato,271.45,1529.76,3,SW_monsoon,0.4874,0.6789,0.9561,0.1053,49.0
low,7,zomato,345.73,1897.71,4,SW_monsoon,0.2299,0.9702,0.9534,0.0631,51.58
medium,18,swiggy,291.48,1635.81,33,SW_monsoon,0.2981,0.792,0.85,0.1043,49.0
high,17,swiggy,242.85,1685.12,12,heat,0.7252,0.8254,0.8978,0.2203,52.3
high,18,zomato,307.28,2228.7,50,NE_monsoon,0.7581,0.7684,0.85,0.1515,52.92
low,19,zomato,261.68,1585.9,7,NE_monsoon,0.4207,0.5237,0.9168,0.1154,52.76
low,20,zomato,275.64,1670.1,46,SW_monsoon,0.577,0.7479,0.85,0.0551,49.57
medium,14,zomato,282.03,1775.31,31,NE_monsoon,0.4404,0.6476,0.85,0.092,49.82
high,17,swiggy,331.06,2475.16,38,dry_season,0.4764,0.8977,0.85,0.188,54.61
medium,20,swiggy,401.67,2701.16,16,NE_monsoon,0.6668,0.7394,0.855,0.0618,53.33
low,17,zomato,330.06,1884.08,49,heat,0.5528,0.6326,0.85,0.0808,53.06
medium,14,zomato,320.34,1915.13,23,NE_monsoon,0.5153,0.7859,0.85,0.0667,51.27
medium,2,swiggy,257.39,1791.39,48,dry_season,0.4591,0.7597,0.85,0.0982,49.0
low,13,zomato,330.25,1726.11,32,NE_monsoon,0.4611,0.785,0.85,0.0532,50.85
high,9,swiggy,354.99,2492.89,10,heat,0.4515,0.7234,0.9116,0.1719,49.89
low,14,swiggy,332.77,1731.03,50,NE_monsoon,0.2523,0.9139,0.85,0.061,49.33
medium,3,zomato,272.06,1627.46,40,NE_monsoon,0.5843,0.6064,0.85,0.1568,52.37
high,20,zomato,241.97,1744.6,14,NE_monsoon,0.8416,0.699,0.8725,0.2252,49.93
high,10,zomato,351.96,2581.43,2,NE_monsoon,0.2337,0.7422,0.9733,0.1857,49.0
high,4,zomato,289.18,1858.71,49,SW_monsoon,0.5766,0.6694,0.85,0.2167,49.0
medium,11,zomato,311.66,1648.38,20,NE_monsoon,0.6459,0.5835,0.85,0.1356,50.41
high,16,zomato,202.39,1413.19,35,heat,0.6029,0.8971,0.85,0.1711,56.2
low,17,zomato,298.46,1652.39,10,NE_monsoon,0.7573,0.5947,0.9096,0.0743,49.0
medium,19,swiggy,318.73,2178.57,28,dry_season,0.6064,0.8689,0.85,0.1553,49.0
medium,12,swiggy,220.55,1347.74,38,NE_monsoon,0.1624,0.7434,0.85,0.1444,50.84
medium,18,swiggy,285.98,2091.46,38,NE_monsoon,0.342,0.8099,0.85,0.0636,52.26
low,3,zomato,247.55,1616.44,6,SW_monsoon,0.3377,0.7911,0.9476,0.0661,49.0
medium,20,swiggy,412.15,2534.42,14,SW_monsoon,0.2419,0.6698,0.8574,0.1595,49.0
high,9,zomato,371.32,2825.65,22,SW_monsoon,0.6839,0.9623,0.85,0.1568,49.46
medium,7,zomato,224.94,1645.97,6,NE_monsoon,0.3272,0.7398,0.9267,0.1458,50.03
high,9,zomato,284.57,1804.85,28,heat,0.699,0.6418,0.85,0.2168,49.0
high,6,zomato,348.65,2263.62,35,SW_monsoon,0.6686,0.6621,0.85,0.165,49.0
high,7,zomato,337.52,2280.96,15,heat,0.4822,0.5144,0.85,0.1903,49.0
high,4,zomato,332.81,2303.79,39,NE_monsoon,0.3517,0.5416,0.85,0.1699,49.61
medium,16,zomato,294.84,2091.79,32,SW_monsoon,0.2161,0.8079,0.85,0.1346,49.0
low,14,zomato,271.29,1682.51,51,SW_monsoon,0.3167,0.7794,0.85,0.0832,49.0
medium,5,swiggy,191.17,1133.36,37,heat,0.1946,0.6483,0.85,0.124,49.0
medium,12,zomato,245.67,1415.55,23,SW_monsoon,0.2829,0.7349,0.85,0.0942,49.51
medium,20,zomato,236.84,1420.34,13,NE_monsoon,0.263,0.6204,0.8645,0.1102,50.52
low,7,swiggy,313.52,1866.35,11,NE_monsoon,0.2918,0.6474,0.9055,0.0805,49.59
medium,15,swiggy,315.06,2207.23,49,SW_monsoon,0.2867,0.4962,0.85,0.1752,49.0
medium,6,zomato,205.2,1489.14,8,NE_monsoon,0.6425,0.6807,0.9305,0.1892,49.0
medium,19,zomato,232.59,1324.21,41,heat,0.5511,0.9871,0.85,0.1604,49.0
medium,1,zomato,266.89,1545.42,44,SW_monsoon,0.2426,0.6574,0.85,0.0671,49.56
medium,18,zomato,228.61,1347.75,32,dry_season,0.315,0.8853,0.85,0.1084,51.81
medium,3,zomato,239.58,1365.53,52,NE_monsoon,0.4407,0.6195,0.85,0.1178,50.73
high,12,zomato,314.1,2345.78,22,NE_monsoon,0.4729,0.5902,0.85,0.2163,50.13
high,2,swiggy,284.65,1842.93,22,dry_season,0.2027,0.4687,0.85,0.1828,49.19
medium,12,swiggy,200.18,1377.67,5,dry_season,0.6133,0.7339,0.9482,0.067,50.21
low,2,zomato,200.35,1152.95,2,heat,0.7365,0.7778,0.9644,0.0531,50.11
low,4,swiggy,264.72,1646.16,2,heat,0.5266,0.6482,0.9629,0.1042,49.0
high,6,zomato,90.0,626.57,31,dry_season,0.4228,0.6852,0.85,0.1843,49.0
high,18,swiggy,208.6,1416.2,47,NE_monsoon,0.8429,0.665,0.85,0.1727,52.67
medium,12,swiggy,269.68,1831.23,3,NE_monsoon,0.3291,0.6212,0.9451,0.1225,49.0
medium,15,zomato,216.36,1507.85,7,SW_monsoon,0.6803,0.6795,0.9213,0.1212,52.26
low,15,zomato,326.71,1785.75,29,SW_monsoon,0.132,0.7557,0.85,0.0913,49.0
high,7,swiggy,341.42,2324.85,48,NE_monsoon,0.1492,0.7369,0.85,0.137,49.0
medium,16,swiggy,247.57,1515.61,52,dry_season,0.1346,0.8117,0.85,0.1379,50.74
high,20,zomato,377.8,2802.61,16,heat,0.2978,0.5375,0.85,0.1447,49.0
high,7,zomato,283.95,2002.93,22,NE_monsoon,0.6318,0.8597,0.85,0.1901,49.81
medium,2,zomato,358.25,2195.79,32,dry_season,0.3452,0.5773,0.85,0.2011,52.0
low,5,swiggy,337.49,2126.45,27,SW_monsoon,0.1488,0.6904,0.85,0.1017,50.06
high,3,swiggy,315.73,2226.08,28,dry_season,0.5062,0.8991,0.85,0.1578,50.25
medium,20,zomato,342.37,2091.2,13,NE_monsoon,0.276,0.7897,0.872,0.1212,49.0
low,20,swiggy,326.01,1771.86,48,NE_monsoon,0.5353,0.4308,0.85,0.0851,49.0
medium,16,zomato,252.16,1523.72,20,NE_monsoon,0.8595,0.658,0.85,0.1712,49.0
high,1,swiggy,278.64,2118.53,8,NE_monsoon,0.385,0.7671,0.9282,0.2241,50.04
high,2,zomato,193.77,1364.98,16,SW_monsoon,0.0961,0.7158,0.8655,0.1203,51.3
medium,2,zomato,357.09,2213.85,36,NE_monsoon,0.3851,0.3638,0.85,0.0604,49.0
low,5,zomato,277.75,1762.61,49,SW_monsoon,0.375,0.8824,0.85,0.0551,49.0
medium,20,zomato,373.48,2371.76,11,SW_monsoon,0.3474,0.5774,0.8861,0.1707,49.0
high,19,zomato,306.66,2180.23,19,dry_season,0.2983,0.9093,0.85,0.1372,49.0
medium,11,swiggy,279.85,1719.21,18,NE_monsoon,0.1667,0.7237,0.85,0.1294,49.59
low,5,zomato,162.37,898.63,22,NE_monsoon,0.1184,0.5523,0.85,0.0803,50.89
high,14,zomato,259.15,1820.64,10,SW_monsoon,0.2554,0.3882,0.9022,0.1709,51.48
low,11,zomato,206.63,1288.93,12,heat,0.5742,0.8094,0.8743,0.0707,50.3
medium,13,swiggy,317.09,2106.55,20,SW_monsoon,0.6628,0.644,0.85,0.0955,49.78
high,16,zomato,194.64,1483.67,35,NE_monsoon,0.5532,0.8616,0.85,0.1352,51.62
medium,4,swiggy,319.55,2059.53,43,NE_monsoon,0.2645,0.841,0.85,0.1467,49.0
medium,13,zomato,417.66,2603.6,17,NE_monsoon,0.4707,0.6572,0.85,0.1181,54.02
low,13,swiggy,220.69,1410.17,38,SW_monsoon,0.7156,0.807,0.85,0.0767,49.0
high,20,zomato,234.16,1647.79,50,NE_monsoon,0.35,0.483,0.85,0.1979,49.0
medium,7,swiggy,299.1,1882.84,4,dry_season,0.2254,0.588,0.958,0.0857,49.0
medium,10,zomato,210.68,1273.47,44,NE_monsoon,0.3057,0.6847,0.85,0.0946,49.0
low,3,swiggy,223.59,1232.71,30,NE_monsoon,0.2635,0.7874,0.85,0.0556,50.19
medium,12,zomato,292.08,1789.08,8,SW_monsoon,0.4155,0.9572,0.9273,0.1355,49.0
low,17,zomato,185.45,1084.24,38,heat,0.2819,0.7086,0.85,0.1118,49.0
medium,9,zomato,428.12,2865.89,4,SW_monsoon,0.4481,0.6404,0.9591,0.1118,49.0
medium,5,swiggy,317.25,2130.09,46,NE_monsoon,0.8288,0.787,0.85,0.1487,49.79
medium,2,zomato,189.93,1192.7,39,SW_monsoon,0.4868,0.6634,0.85,0.1284,49.0
medium,13,swiggy,249.93,1773.35,21,SW_monsoon,0.7594,0.7013,0.85,0.1081,49.0
high,13,zomato,275.84,1940.17,46,SW_monsoon,0.4962,0.5954,0.85,0.1414,49.0
high,4,zomato,291.52,1821.96,42,NE_monsoon,0.8337,0.5442,0.85,0.1761,49.0
low,14,zomato,197.33,1172.84,12,NE_monsoon,0.2317,0.7722,0.8915,0.0372,50.85
low,12,zomato,406.92,2656.75,5,heat,0.4965,0.7375,0.9453,0.0395,50.6
medium,20,zomato,272.2,1814.04,41,NE_monsoon,0.6345,0.763,0.85,0.1462,49.99
high,2,zomato,274.69,1903.43,4,heat,0.7478,0.6518,0.9562,0.251,49.01
medium,9,zomato,296.99,1732.96,25,heat,0.6745,0.7272,0.85,0.0808,49.0
medium,3,zomato,278.28,1631.79,52,SW_monsoon,0.2944,0.7962,0.85,0.1194,53.65
low,4,zomato,231.9,1469.94,44,heat,0.3651,0.775,0.85,0.1427,51.09
medium,1,zomato,344.14,2103.91,19,SW_monsoon,0.4798,0.7721,0.85,0.095,51.1
low,20,zomato,248.71,1520.34,4,SW_monsoon,0.4376,0.6771,0.9501,0.1284,49.0
medium,8,zomato,288.4,1798.75,22,dry_season,0.4792,1.0,0.85,0.1313,49.0
low,10,swiggy,304.49,2024.69,16,dry_season,0.0119,0.7267,0.8518,0.1076,53.28
medium,9,zomato,187.96,1099.42,40,NE_monsoon,0.2593,0.9342,0.85,0.2062,49.0
high,13,zomato,229.73,1568.36,11,dry_season,0.2872,0.6373,0.8821,0.1803,49.0
low,17,zomato,244.91,1266.84,46,heat,0.425,0.6006,0.85,0.0907,49.0
medium,14,swiggy,214.11,1329.35,45,SW_monsoon,0.8033,0.9771,0.85,0.1285,51.93
low,18,zomato,257.06,1503.99,40,SW_monsoon,0.3918,0.7236,0.85,0.0601,52.68
medium,4,zomato,226.58,1386.79,43,SW_monsoon,0.284,0.6226,0.85,0.1129,51.08
low,11,zomato,171.8,1010.01,13,heat,0.4592,0.6871,0.8646,0.0963,49.0
low,13,swiggy,282.83,1217.85,10,dry_season,0.7895,0.8266,0.9029,0.0605,49.0
low,5,swiggy,281.21,1767.26,15,SW_monsoon,0.4687,0.8618,0.8591,0.126,49.0
medium,8,swiggy,307.56,1679.21,1,heat,0.2144,0.7304,0.9732,0.1732,49.0
low,12,zomato,264.52,1657.49,31,SW_monsoon,0.3863,0.6432,0.85,0.1023,53.61
high,15,zomato,232.9,1568.3,9,SW_monsoon,0.3589,0.7692,0.9179,0.2199,49.0
high,3,swiggy,204.17,1508.55,41,heat,0.195,0.7447,0.85,0.1451,49.98
high,19,zomato,292.95,1879.52,15,heat,0.641,0.8017,0.8584,0.1466,49.0
medium,4,swiggy,222.28,1474.32,40,NE_monsoon,0.2961,0.8627,0.85,0.1511,49.0
low,2,zomato,224.6,1322.25,13,SW_monsoon,0.4388,0.4999,0.8771,0.1203,49.0
high,20,zomato,188.23,1331.49,43,NE_monsoon,0.4036,0.6895,0.85,0.1625,49.0
low,1,zomato,208.37,1306.09,17,NE_monsoon,0.1534,0.4192,0.85,0.0845,49.91
high,2,swiggy,197.09,1546.72,20,heat,0.4953,0.7836,0.85,0.1936,49.17
low,12,zomato,350.97,2166.61,17,NE_monsoon,0.6673,0.5493,0.85,0.1148,49.5
low,19,zomato,250.6,1565.36,29,dry_season,0.8269,0.5436,0.85,0.088,54.39
medium,11,zomato,173.99,1181.55,51,heat,0.5011,0.6494,0.85,0.1699,49.0
low,18,zomato,337.48,2186.81,14,dry_season,0.7013,0.86,0.8538,0.0073,49.34
low,17,zomato,281.59,1524.2,23,SW_monsoon,0.5715,0.6954,0.85,0.0702,49.0
medium,6,zomato,210.57,1299.95,34,SW_monsoon,0.7071,0.609,0.85,0.1152,49.94
medium,1,zomato,268.55,1613.95,47,NE_monsoon,0.5045,0.5575,0.85,0.1536,52.01
medium,2,zomato,293.85,2094.91,49,NE_monsoon,0.7553,0.6724,0.85,0.1163,54.13
high,2,zomato,377.2,2287.55,49,dry_season,0.3743,0.6541,0.85,0.1861,49.0
high,12,swiggy,234.93,1611.83,6,NE_monsoon,0.7141,0.8439,0.9288,0.1807,49.0
low,2,swiggy,411.98,2519.31,23,dry_season,0.6235,0.6146,0.85,0.0585,50.65
high,13,swiggy,206.35,1373.64,7,NE_monsoon,0.1952,0.6099,0.925,0.1562,49.0
high,19,zomato,293.88,1699.32,6,SW_monsoon,0.5949,0.852,0.9335,0.175,49.0
high,9,zomato,313.55,2130.09,39,SW_monsoon,0.2866,0.7151,0.85,0.1665,49.0
medium,12,swiggy,289.57,2024.43,45,dry_season,0.3095,0.7911,0.85,0.1396,49.19
medium,20,zomato,210.66,1245.35,4,SW_monsoon,0.2131,0.988,0.9436,0.1237,49.0
high,10,zomato,187.27,1246.19,49,dry_season,0.3669,0.8715,0.85,0.2155,52.47
high,5,zomato,338.39,2449.94,30,NE_monsoon,0.559,0.7175,0.85,0.1798,49.0
medium,2,swiggy,207.57,1368.87,4,dry_season,0.6232,0.9309,0.9416,0.1216,49.0
medium,2,zomato,295.84,1991.32,4,NE_monsoon,0.1447,1.0,0.945,0.1434,49.33
low,2,zomato,238.62,1384.33,36,heat,0.1412,0.8276,0.85,0.1092,49.0
medium,12,zomato,196.88,1130.96,35,SW_monsoon,0.1944,0.6588,0.85,0.125,49.0
high,14,zomato,180.05,1299.6,19,heat,0.5565,0.7059,0.85,0.1298,49.83
high,19,zomato,304.77,2097.7,19,dry_season,0.5364,1.0,0.85,0.107,49.0
high,6,zomato,316.69,2306.6,48,heat,0.128,0.6756,0.85,0.1829,52.65
low,19,zomato,258.71,1628.71,21,NE_monsoon,0.5119,0.8926,0.85,0.0754,49.0
medium,6,zomato,349.17,2247.84,40,heat,0.5143,0.6702,0.85,0.1464,53.17
medium,13,swiggy,292.68,1846.81,14,dry_season,0.3158,0.486,0.8559,0.1029,50.04
medium,7,swiggy,217.43,1497.03,51,NE_monsoon,0.2098,0.5829,0.85,0.133,49.0
medium,9,zomato,203.27,1254.17,35,dry_season,0.3696,1.0,0.85,0.1553,49.0
medium,3,zomato,238.75,1466.65,50,NE_monsoon,0.5617,1.0,0.85,0.1761,49.0
high,14,zomato,235.43,1594.83,14,NE_monsoon,0.3247,0.9455,0.8701,0.1943,50.15
high,4,zomato,271.47,1856.07,49,NE_monsoon,0.2186,0.5384,0.85,0.2221,49.12
medium,3,zomato,280.62,1699.99,46,dry_season,0.3662,0.6135,0.85,0.1532,49.0
medium,2,swiggy,252.76,1414.74,39,dry_season,0.0705,0.7462,0.85,0.164,49.0
medium,8,zomato,312.45,1827.7,21,SW_monsoon,0.476,0.7502,0.85,0.07,49.33
low,10,zomato,220.67,1038.73,3,SW_monsoon,0.5231,0.7092,0.9533,0.0782,49.0
medium,1,zomato,127.13,708.22,10,NE_monsoon,0.693,0.9183,0.9071,0.1599,52.19
low,9,zomato,314.82,1872.66,28,dry_season,0.5899,0.7211,0.85,0.0718,51.64
low,1,zomato,243.24,1461.35,34,heat,0.6159,0.7653,0.85,0.1132,50.52
medium,6,zomato,263.24,1726.37,14,NE_monsoon,0.2462,0.5386,0.8764,0.1333,51.95
medium,18,swiggy,230.58,1409.97,33,NE_monsoon,0.6324,0.7403,0.85,0.1057,52.67
medium,3,swiggy,296.18,1891.85,7,SW_monsoon,0.4029,0.9552,0.9283,0.1084,49.0
low,9,zomato,261.56,1494.47,1,dry_season,0.6406,0.7086,0.9813,0.0553,49.0
low,9,swiggy,167.96,1006.0,37,NE_monsoon,0.2355,0.5165,0.85,0.0788,52.21
low,18,swiggy,358.09,2330.11,22,NE_monsoon,0.5191,0.7219,0.85,0.02,49.0
low,10,zomato,255.37,1493.95,31,NE_monsoon,0.28,0.557,0.85,0.125,49.0
high,5,swiggy,284.13,2105.82,27,heat,0.8308,0.8241,0.85,0.2294,52.67
high,11,zomato,169.83,1001.99,30,NE_monsoon,0.8489,0.7176,0.85,0.1386,52.37
medium,20,swiggy,233.79,1557.69,6,heat,0.4277,0.7028,0.9268,0.1768,49.0
high,1,zomato,285.35,2206.4,42,NE_monsoon,0.7065,0.853,0.85,0.2521,49.0
high,10,swiggy,265.68,1596.61,19,SW_monsoon,0.4204,0.7248,0.85,0.1908,52.29
medium,13,swiggy,236.17,1602.39,46,SW_monsoon,0.3482,0.5678,0.85,0.1006,49.12
medium,1,swiggy,385.13,2493.01,25,heat,0.2334,0.9324,0.85,0.1007,49.45
medium,17,swiggy,315.49,1950.85,1,heat,0.2439,0.5719,0.9753,0.0884,52.38
high,16,swiggy,370.94,2383.42,16,NE_monsoon,0.2826,0.8861,0.8517,0.1642,49.0
high,1,swiggy,281.9,1693.06,33,SW_monsoon,0.1307,0.7083,0.85,0.1467,49.0
low,20,swiggy,223.7,1272.8,10,SW_monsoon,0.426,0.7132,0.8875,0.1275,49.0
high,4,swiggy,420.85,3491.79,28,NE_monsoon,0.3248,0.5363,0.85,0.1245,49.0
high,14,zomato,353.21,2369.9,25,SW_monsoon,0.2448,0.6274,0.85,0.1472,49.61
medium,15,zomato,320.62,2060.37,38,NE_monsoon,0.1445,0.7315,0.85,0.0857,51.74
medium,16,swiggy,293.06,1873.02,7,dry_season,0.2687,0.559,0.9216,0.0754,49.21
low,10,swiggy,380.11,2517.25,13,SW_monsoon,0.5652,0.5548,0.8741,0.1007,50.84
medium,16,swiggy,198.26,1139.45,9,NE_monsoon,0.5129,0.5442,0.9015,0.1708,49.0
high,5,zomato,267.8,1881.4,5,NE_monsoon,0.1942,0.9691,0.9396,0.2139,49.0
medium,4,zomato,207.94,1407.1,11,SW_monsoon,0.3986,0.8711,0.8854,0.1135,49.0
high,20,zomato,225.47,1594.36,42,SW_monsoon,0.2962,0.6867,0.85,0.1702,49.0
high,17,swiggy,197.79,1361.85,23,dry_season,0.4367,0.7493,0.85,0.1921,53.97
medium,8,swiggy,272.05,1724.93,52,NE_monsoon,0.176,0.6139,0.85,0.1116,53.94
low,18,swiggy,312.37,1881.03,52,NE_monsoon,0.3415,0.8553,0.85,0.0995,51.86
low,17,zomato,260.25,1430.34,33,SW_monsoon,0.4899,0.928,0.85,0.1126,49.0
medium,9,zomato,351.15,2553.39,52,dry_season,0.5834,0.7153,0.85,0.1198,49.0
medium,1,zomato,236.16,1438.19,47,NE_monsoon,0.4986,0.6986,0.85,0.1459,54.22
medium,19,swiggy,288.52,1860.09,17,NE_monsoon,0.4615,0.7136,0.8555,0.1547,49.0
low,5,zomato,218.15,1286.16,12,NE_monsoon,0.6969,1.0,0.8708,0.087,49.0
medium,3,zomato,150.29,1054.09,37,dry_season,0.6095,0.8646,0.85,0.1312,50.92
medium,19,swiggy,185.21,1231.64,47,SW_monsoon,0.5292,0.6351,0.85,0.1258,49.0
high,1,swiggy,214.11,1650.98,51,dry_season,0.5174,0.6583,0.85,0.1698,52.67
high,7,zomato,196.12,1505.46,38,heat,0.1803,0.5449,0.85,0.16,49.64
high,19,swiggy,305.07,2199.36,10,heat,0.0408,0.8851,0.9136,0.1423,49.0
low,13,swiggy,284.74,1630.06,38,NE_monsoon,0.3429,0.9248,0.85,0.0967,49.2
high,15,swiggy,292.44,1764.41,17,dry_season,0.2254,0.5362,0.85,0.1532,51.81
medium,1,swiggy,288.17,1910.03,20,SW_monsoon,0.3933,1.0,0.85,0.1212,49.0
medium,8,zomato,235.35,1318.85,50,SW_monsoon,0.4536,0.585,0.85,0.0813,49.54
high,20,swiggy,255.21,1859.01,34,NE_monsoon,0.0436,0.6685,0.85,0.1432,49.0
low,5,zomato,186.43,1146.07,47,dry_season,0.7763,0.5938,0.85,0.1228,49.0
medium,3,swiggy,271.11,1887.39,7,NE_monsoon,0.538,0.7786,0.9393,0.1358,49.0
medium,19,zomato,266.08,1952.3,45,NE_monsoon,0.2113,0.9136,0.85,0.1583,49.0
high,9,zomato,251.32,1823.18,26,SW_monsoon,0.3403,0.4132,0.85,0.182,49.0
low,3,zomato,310.99,1743.79,37,heat,0.5739,0.968,0.85,0.071,51.24
low,5,zomato,215.49,1275.18,25,NE_monsoon,0.2664,0.7724,0.85,0.0794,51.87
high,10,zomato,303.43,2000.07,44,dry_season,0.4273,0.5596,0.85,0.2462,49.0
medium,8,swiggy,291.15,1992.9,44,NE_monsoon,0.5855,0.655,0.85,0.0632,51.59
high,11,swiggy,257.09,1809.93,20,NE_monsoon,0.3997,0.7172,0.85,0.1702,49.0
high,6,swiggy,278.85,2034.7,15,SW_monsoon,0.5202,0.5332,0.8536,0.2305,49.0
low,15,zomato,168.73,947.35,32,NE_monsoon,0.7867,0.6346,0.85,0.0914,50.42
low,6,zomato,375.34,2024.71,27,SW_monsoon,0.1878,0.7978,0.85,0.0985,49.0
medium,1,zomato,193.35,1279.53,48,dry_season,0.2193,0.6953,0.85,0.0432,49.0
